id,category,name,role,description_cs,path_native,path_2x,path_webp,width,height,has_alpha,alpha_bbox,source_board,source_rect,derived_from,state,semantic,text_baked,content_rect,nine_slice,production_status,notes
bar.taskbar.full.blank,bars/taskbar,taskbar_full_blank,taskbar,Čistý plný taskbar bez obsahu.,assets/native/bars/taskbar/taskbar_full_blank.png,assets/2x/bars/taskbar/taskbar_full_blank@2x.png,assets/webp/bars/taskbar/taskbar_full_blank.webp,773,53,False,"[0, 0, 773, 53]",bars,"[420, 558, 758, 598]",,,,False,"[10, 8, 753, 37]","{""left"": 10, ""top"": 8, ""right"": 10, ""bottom"": 8}",production,
bar.taskbar.full.blank.slice.b,nine_slice,bar_taskbar_full_blank_b,nine-slice-piece,9-slice díl b pro bar.taskbar.full.blank.,assets/native/nine_slice/bar_taskbar_full_blank_b.png,assets/2x/nine_slice/bar_taskbar_full_blank_b@2x.png,assets/webp/nine_slice/bar_taskbar_full_blank_b.webp,753,8,False,"[0, 0, 753, 8]",,,bar.taskbar.full.blank,,,False,,,production,
bar.taskbar.full.blank.slice.bl,nine_slice,bar_taskbar_full_blank_bl,nine-slice-piece,9-slice díl bl pro bar.taskbar.full.blank.,assets/native/nine_slice/bar_taskbar_full_blank_bl.png,assets/2x/nine_slice/bar_taskbar_full_blank_bl@2x.png,assets/webp/nine_slice/bar_taskbar_full_blank_bl.webp,10,8,False,"[0, 0, 10, 8]",,,bar.taskbar.full.blank,,,False,,,production,
bar.taskbar.full.blank.slice.br,nine_slice,bar_taskbar_full_blank_br,nine-slice-piece,9-slice díl br pro bar.taskbar.full.blank.,assets/native/nine_slice/bar_taskbar_full_blank_br.png,assets/2x/nine_slice/bar_taskbar_full_blank_br@2x.png,assets/webp/nine_slice/bar_taskbar_full_blank_br.webp,10,8,False,"[0, 0, 10, 8]",,,bar.taskbar.full.blank,,,False,,,production,
bar.taskbar.full.blank.slice.c,nine_slice,bar_taskbar_full_blank_c,nine-slice-piece,9-slice díl c pro bar.taskbar.full.blank.,assets/native/nine_slice/bar_taskbar_full_blank_c.png,assets/2x/nine_slice/bar_taskbar_full_blank_c@2x.png,assets/webp/nine_slice/bar_taskbar_full_blank_c.webp,753,37,False,"[0, 0, 753, 37]",,,bar.taskbar.full.blank,,,False,,,production,
bar.taskbar.full.blank.slice.l,nine_slice,bar_taskbar_full_blank_l,nine-slice-piece,9-slice díl l pro bar.taskbar.full.blank.,assets/native/nine_slice/bar_taskbar_full_blank_l.png,assets/2x/nine_slice/bar_taskbar_full_blank_l@2x.png,assets/webp/nine_slice/bar_taskbar_full_blank_l.webp,10,37,False,"[0, 0, 10, 37]",,,bar.taskbar.full.blank,,,False,,,production,
bar.taskbar.full.blank.slice.r,nine_slice,bar_taskbar_full_blank_r,nine-slice-piece,9-slice díl r pro bar.taskbar.full.blank.,assets/native/nine_slice/bar_taskbar_full_blank_r.png,assets/2x/nine_slice/bar_taskbar_full_blank_r@2x.png,assets/webp/nine_slice/bar_taskbar_full_blank_r.webp,10,37,False,"[0, 0, 10, 37]",,,bar.taskbar.full.blank,,,False,,,production,
bar.taskbar.full.blank.slice.t,nine_slice,bar_taskbar_full_blank_t,nine-slice-piece,9-slice díl t pro bar.taskbar.full.blank.,assets/native/nine_slice/bar_taskbar_full_blank_t.png,assets/2x/nine_slice/bar_taskbar_full_blank_t@2x.png,assets/webp/nine_slice/bar_taskbar_full_blank_t.webp,753,8,False,"[0, 0, 753, 8]",,,bar.taskbar.full.blank,,,False,,,production,
bar.taskbar.full.blank.slice.tl,nine_slice,bar_taskbar_full_blank_tl,nine-slice-piece,9-slice díl tl pro bar.taskbar.full.blank.,assets/native/nine_slice/bar_taskbar_full_blank_tl.png,assets/2x/nine_slice/bar_taskbar_full_blank_tl@2x.png,assets/webp/nine_slice/bar_taskbar_full_blank_tl.webp,10,8,False,"[0, 0, 10, 8]",,,bar.taskbar.full.blank,,,False,,,production,
bar.taskbar.full.blank.slice.tr,nine_slice,bar_taskbar_full_blank_tr,nine-slice-piece,9-slice díl tr pro bar.taskbar.full.blank.,assets/native/nine_slice/bar_taskbar_full_blank_tr.png,assets/2x/nine_slice/bar_taskbar_full_blank_tr@2x.png,assets/webp/nine_slice/bar_taskbar_full_blank_tr.webp,10,8,False,"[0, 0, 10, 8]",,,bar.taskbar.full.blank,,,False,,,production,
