id,path,category,width,height,states,nine_slice,accent,usage,source_docs
dark-panel,assets/surfaces/dark-panel.png,surface-tile,32,32,,,,Dark internal module surface,01-visual-style.md
graphite-panel,assets/surfaces/graphite-panel.png,surface-tile,32,32,,,,General graphite UI surface,01-visual-style.md
paper-ruled,assets/surfaces/paper-ruled.png,surface-tile,32,32,,,,Audit/document ruled paper,01-visual-style.md
paper-light-ruled,assets/surfaces/paper-light-ruled.png,surface-tile,32,32,,,,High-contrast form paper,01-visual-style.md
manila-folder,assets/surfaces/manila-folder.png,surface-tile,32,32,,,,Folder and archive surface,01-visual-style.md
crt-screen,assets/surfaces/crt-screen.png,surface-tile,32,32,,,,Terminal/monitor surface,01-visual-style.md
dirty-glass,assets/surfaces/dirty-glass.png,surface-tile,32,32,,,,Help and system-information surface,01-visual-style.md
control.close.normal,assets/controls/individual/close.normal.png,window-control,18,16,normal,,red,close control state,01-visual-style.md;06-screen-concepts.md
control.close.hover,assets/controls/individual/close.hover.png,window-control,18,16,hover,,red,close control state,01-visual-style.md;06-screen-concepts.md
control.close.pressed,assets/controls/individual/close.pressed.png,window-control,18,16,pressed,,red,close control state,01-visual-style.md;06-screen-concepts.md
control.close.disabled,assets/controls/individual/close.disabled.png,window-control,18,16,disabled,,red,close control state,01-visual-style.md;06-screen-concepts.md
control.close.sheet,assets/controls/sheets/close.sheet.png,window-control-sheet,72,16,normal|hover|pressed|disabled,,red,close control sprite sheet,01-visual-style.md;06-screen-concepts.md
control.minimize.normal,assets/controls/individual/minimize.normal.png,window-control,18,16,normal,,amber,minimize control state,01-visual-style.md;06-screen-concepts.md
control.minimize.hover,assets/controls/individual/minimize.hover.png,window-control,18,16,hover,,amber,minimize control state,01-visual-style.md;06-screen-concepts.md
control.minimize.pressed,assets/controls/individual/minimize.pressed.png,window-control,18,16,pressed,,amber,minimize control state,01-visual-style.md;06-screen-concepts.md
control.minimize.disabled,assets/controls/individual/minimize.disabled.png,window-control,18,16,disabled,,amber,minimize control state,01-visual-style.md;06-screen-concepts.md
control.minimize.sheet,assets/controls/sheets/minimize.sheet.png,window-control-sheet,72,16,normal|hover|pressed|disabled,,amber,minimize control sprite sheet,01-visual-style.md;06-screen-concepts.md
control.maximize.normal,assets/controls/individual/maximize.normal.png,window-control,18,16,normal,,neutral,maximize control state,01-visual-style.md;06-screen-concepts.md
control.maximize.hover,assets/controls/individual/maximize.hover.png,window-control,18,16,hover,,neutral,maximize control state,01-visual-style.md;06-screen-concepts.md
control.maximize.pressed,assets/controls/individual/maximize.pressed.png,window-control,18,16,pressed,,neutral,maximize control state,01-visual-style.md;06-screen-concepts.md
control.maximize.disabled,assets/controls/individual/maximize.disabled.png,window-control,18,16,disabled,,neutral,maximize control state,01-visual-style.md;06-screen-concepts.md
control.maximize.sheet,assets/controls/sheets/maximize.sheet.png,window-control-sheet,72,16,normal|hover|pressed|disabled,,neutral,maximize control sprite sheet,01-visual-style.md;06-screen-concepts.md
